,stats,aic
339,"ARIMA(1, 1, 0)x(1, 2, 0, 12)",765.219789935814
340,"ARIMA(1, 1, 0)x(1, 2, 1, 12)",463.08738395700044
341,"ARIMA(1, 1, 0)x(1, 2, 2, 12)",331.8370995122674
342,"ARIMA(1, 1, 0)x(2, 0, 0, 12)",219.83857254805025
343,"ARIMA(1, 1, 0)x(2, 0, 1, 12)",221.61644381195458
344,"ARIMA(1, 1, 0)x(2, 0, 2, 12)",223.04676916802504
345,"ARIMA(1, 1, 0)x(2, 1, 0, 12)",352.85602298610667
346,"ARIMA(1, 1, 0)x(2, 1, 1, 12)",246.18300626506095
347,"ARIMA(1, 1, 0)x(2, 1, 2, 12)",247.47800256906655
348,"ARIMA(1, 1, 0)x(2, 2, 0, 12)",632.0258669198031
349,"ARIMA(1, 1, 0)x(2, 2, 1, 12)",401.92843135211
350,"ARIMA(1, 1, 0)x(2, 2, 2, 12)",329.2389357609736
351,"ARIMA(1, 1, 1)x(0, 0, 0, 12)",80.10269540143196
352,"ARIMA(1, 1, 1)x(0, 0, 1, 12)",67.78891212810109
353,"ARIMA(1, 1, 1)x(0, 0, 2, 12)",69.32374071980378
354,"ARIMA(1, 1, 1)x(0, 1, 0, 12)",383.0336672260561
355,"ARIMA(1, 1, 1)x(0, 1, 1, 12)",108.49052835849986
356,"ARIMA(1, 1, 1)x(0, 1, 2, 12)",102.41978472511389
357,"ARIMA(1, 1, 1)x(0, 2, 0, 12)",885.1342257449751
