,stats,aic
247,"ARIMA(1, 0, 0)x(0, 1, 1, 12)",-486.0003846394478
248,"ARIMA(1, 0, 0)x(0, 1, 2, 12)",-472.7620439359707
249,"ARIMA(1, 0, 0)x(0, 2, 0, 12)",275.6981104059782
250,"ARIMA(1, 0, 0)x(0, 2, 1, 12)",-199.69190956177826
251,"ARIMA(1, 0, 0)x(0, 2, 2, 12)",-396.74602701073627
252,"ARIMA(1, 0, 0)x(1, 0, 0, 12)",-266.17843183089485
253,"ARIMA(1, 0, 0)x(1, 0, 1, 12)",-263.24649387588323
254,"ARIMA(1, 0, 0)x(1, 0, 2, 12)",-265.3342569578312
255,"ARIMA(1, 0, 0)x(1, 1, 0, 12)",-371.8736805166808
256,"ARIMA(1, 0, 0)x(1, 1, 1, 12)",-473.01498452837495
257,"ARIMA(1, 0, 0)x(1, 1, 2, 12)",-476.3225009731203
258,"ARIMA(1, 0, 0)x(1, 2, 0, 12)",-7.866321545633355
259,"ARIMA(1, 0, 0)x(1, 2, 1, 12)",-308.6819305395944
260,"ARIMA(1, 0, 0)x(1, 2, 2, 12)",-377.92431624698804
261,"ARIMA(1, 0, 0)x(2, 0, 0, 12)",-370.31970812316933
262,"ARIMA(1, 0, 0)x(2, 0, 1, 12)",-265.99924453655376
263,"ARIMA(1, 0, 0)x(2, 0, 2, 12)",-262.064109973203
264,"ARIMA(1, 0, 0)x(2, 1, 0, 12)",-410.4655198120938
265,"ARIMA(1, 0, 0)x(2, 1, 1, 12)",-470.5583448934311
266,"ARIMA(1, 0, 0)x(2, 1, 2, 12)",-475.85308454837053
267,"ARIMA(1, 0, 0)x(2, 2, 0, 12)",-119.93832755824377
268,"ARIMA(1, 0, 0)x(2, 2, 1, 12)",-340.72572204596327
269,"ARIMA(1, 0, 0)x(2, 2, 2, 12)",-367.6497463439649
270,"ARIMA(1, 0, 1)x(0, 0, 0, 12)",-584.4398524522584
271,"ARIMA(1, 0, 1)x(0, 0, 1, 12)",-568.6783291778283
272,"ARIMA(1, 0, 1)x(0, 0, 2, 12)",-559.4509148764657
273,"ARIMA(1, 0, 1)x(0, 1, 0, 12)",-245.11773028961443
274,"ARIMA(1, 0, 1)x(0, 1, 1, 12)",-520.4996763034368
275,"ARIMA(1, 0, 1)x(0, 1, 2, 12)",-514.530611608303
276,"ARIMA(1, 0, 1)x(0, 2, 0, 12)",277.82882726763023
277,"ARIMA(1, 0, 1)x(0, 2, 1, 12)",-196.87758892637174
278,"ARIMA(1, 0, 1)x(0, 2, 2, 12)",-428.8374470316944
279,"ARIMA(1, 0, 1)x(1, 0, 0, 12)",-568.4851164336542
280,"ARIMA(1, 0, 1)x(1, 0, 1, 12)",-522.4941967897636
281,"ARIMA(1, 0, 1)x(1, 0, 2, 12)",-545.9284470645671
282,"ARIMA(1, 0, 1)x(1, 1, 0, 12)",-370.00398891187103
283,"ARIMA(1, 0, 1)x(1, 1, 1, 12)",-511.03129837229403
284,"ARIMA(1, 0, 1)x(1, 1, 2, 12)",-516.928435725203
285,"ARIMA(1, 0, 1)x(1, 2, 0, 12)",-5.8657506937225605
286,"ARIMA(1, 0, 1)x(1, 2, 1, 12)",-305.9388596134555
287,"ARIMA(1, 0, 1)x(1, 2, 2, 12)",-399.1968854719928
288,"ARIMA(1, 0, 1)x(2, 0, 0, 12)",-563.1706129723428
289,"ARIMA(1, 0, 1)x(2, 0, 1, 12)",-539.5592759042391
290,"ARIMA(1, 0, 1)x(2, 0, 2, 12)",-557.8237361057038
291,"ARIMA(1, 0, 1)x(2, 1, 0, 12)",-412.49588032123984
292,"ARIMA(1, 0, 1)x(2, 1, 1, 12)",-515.8997302717046
293,"ARIMA(1, 0, 1)x(2, 1, 2, 12)",-514.3386981540242
294,"ARIMA(1, 0, 1)x(2, 2, 0, 12)",-117.9846564297825
295,"ARIMA(1, 0, 1)x(2, 2, 1, 12)",-344.9382034248914
296,"ARIMA(1, 0, 1)x(2, 2, 2, 12)",-403.07201495908254
297,"ARIMA(1, 0, 2)x(0, 0, 0, 12)",-575.7435931835697
298,"ARIMA(1, 0, 2)x(0, 0, 1, 12)",-559.1119950995775
299,"ARIMA(1, 0, 2)x(0, 0, 2, 12)",-555.1871375896228
300,"ARIMA(1, 0, 2)x(0, 1, 0, 12)",-244.03782646444103
301,"ARIMA(1, 0, 2)x(0, 1, 1, 12)",-517.4925871254246
302,"ARIMA(1, 0, 2)x(0, 1, 2, 12)",-513.3523107694691
303,"ARIMA(1, 0, 2)x(0, 2, 0, 12)",276.520905479882
304,"ARIMA(1, 0, 2)x(0, 2, 1, 12)",-195.02454775166103
305,"ARIMA(1, 0, 2)x(0, 2, 2, 12)",-424.8869281077343
306,"ARIMA(1, 0, 2)x(1, 0, 0, 12)",-561.703826317674
307,"ARIMA(1, 0, 2)x(1, 0, 1, 12)",-560.6622926404947
308,"ARIMA(1, 0, 2)x(1, 0, 2, 12)",-544.6597607340684
309,"ARIMA(1, 0, 2)x(1, 1, 0, 12)",-367.88636298085487
310,"ARIMA(1, 0, 2)x(1, 1, 1, 12)",-509.7465349307806
311,"ARIMA(1, 0, 2)x(1, 1, 2, 12)",-519.0446259418906
312,"ARIMA(1, 0, 2)x(1, 2, 0, 12)",-4.008451625549625
313,"ARIMA(1, 0, 2)x(1, 2, 1, 12)",-303.32814336449394
314,"ARIMA(1, 0, 2)x(1, 2, 2, 12)",-411.08927713280934
315,"ARIMA(1, 0, 2)x(2, 0, 0, 12)",-558.8125385354151
316,"ARIMA(1, 0, 2)x(2, 0, 1, 12)",-528.5945474970448
317,"ARIMA(1, 0, 2)x(2, 0, 2, 12)",-549.0567971594953
318,"ARIMA(1, 0, 2)x(2, 1, 0, 12)",-410.59093869773665
319,"ARIMA(1, 0, 2)x(2, 1, 1, 12)",-509.25462797629325
320,"ARIMA(1, 0, 2)x(2, 1, 2, 12)",-493.16060724756915
321,"ARIMA(1, 0, 2)x(2, 2, 0, 12)",-129.78042558699804
322,"ARIMA(1, 0, 2)x(2, 2, 1, 12)",-343.01858433236373
323,"ARIMA(1, 0, 2)x(2, 2, 2, 12)",-401.7676384664639
324,"ARIMA(1, 1, 0)x(0, 0, 0, 12)",-412.24453803186356
325,"ARIMA(1, 1, 0)x(0, 0, 1, 12)",-397.28595132189616
326,"ARIMA(1, 1, 0)x(0, 0, 2, 12)",-397.90222105987755
327,"ARIMA(1, 1, 0)x(0, 1, 0, 12)",-66.66519288666638
328,"ARIMA(1, 1, 0)x(0, 1, 1, 12)",-358.0451255592432
329,"ARIMA(1, 1, 0)x(0, 1, 2, 12)",-347.04280488085584
330,"ARIMA(1, 1, 0)x(0, 2, 0, 12)",444.6445634343528
331,"ARIMA(1, 1, 0)x(0, 2, 1, 12)",-28.41453245680701
